id,name,category,category_slug,subcategory,subcategory_slug,image,thumbnail,width,height,sha256
011,头部空间构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/011-头部空间构图.png,v2/thumbnails/01-composition-logic/011-头部空间构图.jpg,1086,1448,313f399184c52e109b40d819d0c6d9e79905cd024f6cfd204c3a1366f7e1bf17
012,填满画面构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/012-填满画面构图.png,v2/thumbnails/01-composition-logic/012-填满画面构图.jpg,1086,1448,b9fc5d5c7e006b9e71065043afba5d7f5d62f4b4c8907c6e44d850e79f517a6e
013,负空间构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/013-负空间构图.png,v2/thumbnails/01-composition-logic/013-负空间构图.jpg,1086,1448,48f59ab6f31a7a5f38ff46b484f13b6e4628fae1fbb67af9490c106a2e349c93
014,框中框构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/014-框中框构图.png,v2/thumbnails/01-composition-logic/014-框中框构图.jpg,1086,1448,8005648acad84892a6fe9ac17e5ac54bb7b6d12f08dd745bcdcee3febf5c9b2d
015,引导线构图,构图逻辑,01-composition-logic,经典法则与空间留白,classic-rules,v2/images/01-composition-logic/015-引导线构图.png,v2/thumbnails/01-composition-logic/015-引导线构图.jpg,1086,1448,5a29c2d7714fce0ad0e20df649f082b6082e6ee0021996d1f98ad97259ac42c2
016,居中构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/016-居中构图.png,v2/thumbnails/01-composition-logic/016-居中构图.jpg,1086,1448,25698f98936fa3cea3fc093108ba12d762793bc97cf518fa1a74441b6ff4a502
017,偏心构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/017-偏心构图.png,v2/thumbnails/01-composition-logic/017-偏心构图.jpg,1086,1448,a9a279cf76806cd1b96139e1a71414d249d5ab9ae423be927d90f24d76ac875b
018,对称构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/018-对称构图.png,v2/thumbnails/01-composition-logic/018-对称构图.jpg,1086,1448,27839079cc735bf857f621a3e0461425cd1518755d634bbdb893bdeb523d58d0
019,非对称构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/019-非对称构图.png,v2/thumbnails/01-composition-logic/019-非对称构图.jpg,1086,1448,046759568964009954ec41ad684c0ebe76f9860cad838d14a468c83ba93d58f6
020,镜像构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/020-镜像构图.png,v2/thumbnails/01-composition-logic/020-镜像构图.jpg,1086,1448,b20b0fac8f34b92a3597d88428999b3a8a00c5d9f9ee9a5c8ad59629ae05bb4b
021,水平构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/021-水平构图.png,v2/thumbnails/01-composition-logic/021-水平构图.jpg,1086,1448,74eb6d1f05a025da576e196a0a33a8801d4f2d1b4ea0cd9abf56599a6b96ef0d
022,垂直构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/022-垂直构图.png,v2/thumbnails/01-composition-logic/022-垂直构图.jpg,1086,1448,1b06e830c861f21ce58ab11dd98a5c4fb0cf5bbc8ad863afe4df895c1972ed82
023,对角线构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/023-对角线构图.png,v2/thumbnails/01-composition-logic/023-对角线构图.jpg,1086,1448,6105a438f4a46ec79bcda64c547126682eb115c37a0b49d30fdac83e621b22bc
024,平行线构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/024-平行线构图.png,v2/thumbnails/01-composition-logic/024-平行线构图.jpg,1086,1448,b3ef20bc10016613f08ba1a09aeca71c8541ce4b78682fe74da4bf4e9addc7cf
025,汇聚线构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/025-汇聚线构图.png,v2/thumbnails/01-composition-logic/025-汇聚线构图.jpg,1086,1448,7f450ab6e2c535b0732a406d408d6f040d4941b04094a9513f062c5d18857187
026,交叉线构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/026-交叉线构图.png,v2/thumbnails/01-composition-logic/026-交叉线构图.jpg,1086,1448,c8c59dfa0211af0850639301f33c9d0c4cd02fb3e1dc50e442e9426b787aa44a
027,中轴构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/027-中轴构图.png,v2/thumbnails/01-composition-logic/027-中轴构图.jpg,1086,1448,cde8ba60d631bb600be9c8f93faa0c71401ffb5dc2d96ee86d158f5f3e266d79
028,偏轴构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/028-偏轴构图.png,v2/thumbnails/01-composition-logic/028-偏轴构图.jpg,1086,1448,8088933a671d7ac6f63a642a9622eb897570c8f70f53e8d609e68ad233792ff7
029,双轴构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/029-双轴构图.png,v2/thumbnails/01-composition-logic/029-双轴构图.jpg,1086,1448,d3f4d4e219c3cbc4afd8b58cae74c90d6edbc4dd7120b9ceaa69ce0f5b0cdc75
030,十字构图,构图逻辑,01-composition-logic,重心、线条与轴线,balance-lines-axes,v2/images/01-composition-logic/030-十字构图.png,v2/thumbnails/01-composition-logic/030-十字构图.jpg,1086,1448,bffa62ab0277aca1f4ad016680ce672f2a0629d71341af5b3bece0ee4e3789f9
031,X 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/031-X 形构图.png,v2/thumbnails/01-composition-logic/031-X 形构图.jpg,1086,1448,3dcf011109881f2f5784f8a6551f3eab26882456df970671009d8b5c1dbd8c33
032,T 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/032-T 形构图.png,v2/thumbnails/01-composition-logic/032-T 形构图.jpg,1086,1448,44347cf8fec4faeb6bfcbb372a595ab40a2dd397a56c2bb4b4348fae4c03a842
033,L 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/033-L 形构图.png,v2/thumbnails/01-composition-logic/033-L 形构图.jpg,1086,1448,1ac5639d74de15e06754afc19fe397385e4cf2a3e8c1cf28e4586990555583dc
034,V 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/034-V 形构图.png,v2/thumbnails/01-composition-logic/034-V 形构图.jpg,1086,1448,a386b56bbf2a82d02f82a25b30205e7f20721e3c06c075171c553b9126e9eff4
035,Z 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/035-Z 形构图.png,v2/thumbnails/01-composition-logic/035-Z 形构图.jpg,1086,1448,06754defcb0de1434fde61e9277515a15c0358d1a22b0819fc99bc34a83b168b
036,C 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/036-C 形构图.png,v2/thumbnails/01-composition-logic/036-C 形构图.jpg,1086,1448,39cff5c76ed8d1316592be47d18eac7e0f2361bd208de91483216a604059a0d3
037,S 形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/037-S 形构图.png,v2/thumbnails/01-composition-logic/037-S 形构图.jpg,1086,1448,0e913d20a18d2c5c03542e5fb77841255328b1c4917ecc1ef32ef751d2fcb8d4
038,曲线构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/038-曲线构图.png,v2/thumbnails/01-composition-logic/038-曲线构图.jpg,1086,1448,8ca75f197d76f5a1e304164fbe6527eef9104ba615542cf6ab61103728cbed1b
039,波浪形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/039-波浪形构图.png,v2/thumbnails/01-composition-logic/039-波浪形构图.jpg,1086,1448,772d74653e22eab71774be1982ef57f907a3a65a75b45b85001c097baa3a2429
040,锯齿形构图,构图逻辑,01-composition-logic,字母形与曲线,letter-curves,v2/images/01-composition-logic/040-锯齿形构图.png,v2/thumbnails/01-composition-logic/040-锯齿形构图.jpg,1086,1448,adc75d57c91f64d1f6a969c7a264625ea8a551c4a79d3f2b14169cba801be271
041,三角构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/041-三角构图.png,v2/thumbnails/01-composition-logic/041-三角构图.jpg,1086,1448,0e5599bcfff5d1289ff7625e60cd2a14cee6e5e37dd82bd716a62f28397d4741
042,金字塔构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/042-金字塔构图.png,v2/thumbnails/01-composition-logic/042-金字塔构图.jpg,1086,1448,2f24b353f1c0387dcffa37f925d89c1229f66c3cd35c6b7d04df34225ddb777b
043,倒三角构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/043-倒三角构图.png,v2/thumbnails/01-composition-logic/043-倒三角构图.jpg,1086,1448,094988de88e93ce3d99d1f11b44490d93976b01581a0301844b3dc3842ad70ed
044,菱形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/044-菱形构图.png,v2/thumbnails/01-composition-logic/044-菱形构图.jpg,1086,1448,4cfd96d1684d528ad6109462ba7decf952ade5490d64bb844e413024922838e3
045,方形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/045-方形构图.png,v2/thumbnails/01-composition-logic/045-方形构图.jpg,1086,1448,4aedf5e4c0612297fc9280f4797c7a22a2da17f65272a5c455c123d4bebc1436
046,矩形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/046-矩形构图.png,v2/thumbnails/01-composition-logic/046-矩形构图.jpg,1086,1448,18c1c45b7234e2b9b56e5eb3974404dc609b7320737df304c78092e5ce51e4e6
047,圆形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/047-圆形构图.png,v2/thumbnails/01-composition-logic/047-圆形构图.jpg,1086,1448,35f52a8429e21d4dc38700c69222c02f087651282ba99f0802b6b036a5195344
048,椭圆构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/048-椭圆构图.png,v2/thumbnails/01-composition-logic/048-椭圆构图.jpg,1086,1448,6d7d6efbbbc85b62d04709430748a0485f8d85dadd5f91d8944108be697cc252
049,弧形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/049-弧形构图.png,v2/thumbnails/01-composition-logic/049-弧形构图.jpg,1086,1448,e3578885b9af458c92492919b1167174dc1dbcafd9d6eeccb15f97824e6182e7
050,环形构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/050-环形构图.png,v2/thumbnails/01-composition-logic/050-环形构图.jpg,1086,1448,7d2a7973cd15c756b18614b79b566ea0827e40f509506154915ef2b0b0e696bb
051,螺旋构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/051-螺旋构图.png,v2/thumbnails/01-composition-logic/051-螺旋构图.jpg,1086,1448,690a7ab2e83d43aec2f8c13fb4d470830b420cc935afc42c7abf905ec61f209f
052,放射式构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/052-放射式构图.png,v2/thumbnails/01-composition-logic/052-放射式构图.jpg,1086,1448,0fc476e63304f209b8a62d3c08611e16d9605d127791aa09f2f8f47d2bfabf4b
053,向心式构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/053-向心式构图.png,v2/thumbnails/01-composition-logic/053-向心式构图.jpg,1086,1448,2328e966822df12b5a419b72c2f1e17ce20be1a7114552235b942b25e1b5ffb1
054,离心式构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/054-离心式构图.png,v2/thumbnails/01-composition-logic/054-离心式构图.jpg,1086,1448,29dbe4e3384fa473d89c7dc818b70b992f41cc22c6379a7a37536b78a0b84eb1
055,同心式构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/055-同心式构图.png,v2/thumbnails/01-composition-logic/055-同心式构图.jpg,1086,1448,5bb14bdcff7f2369d56c066e300c97862238cc4021424d09c46644154334f4b4
056,四象限构图,构图逻辑,01-composition-logic,几何形与放射结构,geometry-radial,v2/images/01-composition-logic/056-四象限构图.png,v2/thumbnails/01-composition-logic/056-四象限构图.jpg,1086,1448,fb211c4152ee9263881660aa8cbb3441e49861441187369ba20817a58b421da4
057,棋盘构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/057-棋盘构图.png,v2/thumbnails/01-composition-logic/057-棋盘构图.jpg,1086,1448,07fbaf0484756b5571748d67b293adf7b808a69229a453fcf09ccbf567d4a8ae
058,阶梯构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/058-阶梯构图.png,v2/thumbnails/01-composition-logic/058-阶梯构图.jpg,1086,1448,d347d6c93670314f2a5cb658205b603288130744b64a4ed3d3000a9c42664f01
059,层叠构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/059-层叠构图.png,v2/thumbnails/01-composition-logic/059-层叠构图.jpg,1086,1448,41c8ac46fd0fe96524425ac0ffac9c2d10a0a2cce7a5c91e7602a55344046e61
060,级联构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/060-级联构图.png,v2/thumbnails/01-composition-logic/060-级联构图.jpg,1086,1448,e29c559629b30a082053c9518fa6d628ff90f48f88efb140b9a9419fe8b1f053
061,聚类构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/061-聚类构图.png,v2/thumbnails/01-composition-logic/061-聚类构图.jpg,1086,1448,2dd867b764f79197ec6f42446cf6dce1ce4291b000ce9952bd2d485df33dcf24
062,分散构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/062-分散构图.png,v2/thumbnails/01-composition-logic/062-分散构图.jpg,1086,1448,e8d9fe94b507bdab8d25cb82dcb2ea58c38f7964e3faaa72bda3b2896c107a9e
063,分支构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/063-分支构图.png,v2/thumbnails/01-composition-logic/063-分支构图.jpg,1086,1448,db67696d65c6b77e174c4c5bf9ee5411007906a2b53a5b39bfb929a12c21f22c
064,网络构图,构图逻辑,01-composition-logic,阵列、层叠与组群,pattern-grouping,v2/images/01-composition-logic/064-网络构图.png,v2/thumbnails/01-composition-logic/064-网络构图.jpg,1086,1448,42cd9a9294bd83e62d703deb73f5c03c91897a2047f538743338c9ae155a6c10
065,前中后景构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/065-前中后景构图.png,v2/thumbnails/01-composition-logic/065-前中后景构图.jpg,1086,1448,5d33729dd3817c48c8a43e6458f567a881e06af6a3d0b18a4f148c2666cf6d8e
066,前景框架构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/066-前景框架构图.png,v2/thumbnails/01-composition-logic/066-前景框架构图.jpg,1086,1448,3661189c5c9d4ff4aa21af8e51fe703ec3beb62cadc8599e4f83b79c846d9500
067,重叠空间构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/067-重叠空间构图.png,v2/thumbnails/01-composition-logic/067-重叠空间构图.jpg,1086,1448,6de9df5e016ae3ade1e8c202039e4974a3059d5fcea00306f4cdb0e96d0089cb
068,尺度递减构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/068-尺度递减构图.png,v2/thumbnails/01-composition-logic/068-尺度递减构图.jpg,1086,1448,9c90eab267be43cae577d121ed3f4e8b34b2b9ee2a593e0d73850c9688ae978d
069,线性透视,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/069-线性透视.png,v2/thumbnails/01-composition-logic/069-线性透视.jpg,1086,1448,718f62897cdca67b175f27362bde38be6d49393d41f4dc174eda9d529d854bb1
070,一点透视,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/070-一点透视.png,v2/thumbnails/01-composition-logic/070-一点透视.jpg,1086,1448,9e6ed0e7ea5b9dd43cb01e4b491638c22a189897f9ad402560a0056e7ab7d990
071,两点透视,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/071-两点透视.png,v2/thumbnails/01-composition-logic/071-两点透视.jpg,1086,1448,8da9f5e49952530b7a9eb0a489885b4fedfed52f1a930afc0917e9e6f4efd42d
072,三点透视,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/072-三点透视.png,v2/thumbnails/01-composition-logic/072-三点透视.jpg,1086,1448,69c0c2500a6db48f5ff7245dc5e40936a896c98d7a22cf23c8807a7334526107
073,平行透视构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/073-平行透视构图.png,v2/thumbnails/01-composition-logic/073-平行透视构图.jpg,1086,1448,493ca6807fee54fa8984e318ad84c1559e75fd0f761d9f56474ab011ee32322a
074,斜投影构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/074-斜投影构图.png,v2/thumbnails/01-composition-logic/074-斜投影构图.jpg,1086,1448,cfbdc9cbacf0d720e0f0d843627e353c4e8347751e44c0fdd9fcb6bcff38ad42
075,等距构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/075-等距构图.png,v2/thumbnails/01-composition-logic/075-等距构图.jpg,1086,1448,4afdc096fc5d8101d02cbb10190c9fd41aba1bd8de2dea68293761051482a1ab
076,轴测构图,构图逻辑,01-composition-logic,空间层次与投影,depth-projection,v2/images/01-composition-logic/076-轴测构图.png,v2/thumbnails/01-composition-logic/076-轴测构图.jpg,1086,1448,a3c713d76b2f7b9ae97e5d33ec4efb19d2c145090d74f8667711b938f231f19f
077,鸟瞰构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/077-鸟瞰构图.png,v2/thumbnails/01-composition-logic/077-鸟瞰构图.jpg,1086,1448,2b84fcc8a754f012fa88c28a3b03f01f4f0e207ebe0ec0e07210a06ed2994cef
078,虫视构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/078-虫视构图.png,v2/thumbnails/01-composition-logic/078-虫视构图.jpg,1086,1448,47b2fb8435c319bf8e9d7c25f8f99655198ba4359206e0ca1768319f9332b883
079,顶视构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/079-顶视构图.png,v2/thumbnails/01-composition-logic/079-顶视构图.jpg,1086,1448,f49dbfe3b887593926c9ba92835fcc8a435ca662e7af25cbd9da3aec107f370a
080,平视构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/080-平视构图.png,v2/thumbnails/01-composition-logic/080-平视构图.jpg,1086,1448,39c2efdf63010d3ac6cb39fd72ca420f42dbca090e6001a7766977e03f4e3e95
081,强制透视构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/081-强制透视构图.png,v2/thumbnails/01-composition-logic/081-强制透视构图.jpg,1086,1448,307494e2f0e1c5e4b0d1ec05f14633e3b529f1c6e5100dfec622baf2dfd64428
082,空气透视构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/082-空气透视构图.png,v2/thumbnails/01-composition-logic/082-空气透视构图.jpg,1086,1448,b4656b97cf3fe526a505cd15d5467fa8c11914399d86900e9e26209072b592d5
083,浅景深构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/083-浅景深构图.png,v2/thumbnails/01-composition-logic/083-浅景深构图.jpg,1086,1448,4361e61f4c1f673ffd36e2efa768bb98b8ee4a7854ac1570c0a5db20c50b245d
084,深焦构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/084-深焦构图.png,v2/thumbnails/01-composition-logic/084-深焦构图.jpg,1086,1448,4a4d2de5f2a5000c41735372baa8f6e9bb6c6da785ad38dbfe6ade036f5c9c31
085,平面化构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/085-平面化构图.png,v2/thumbnails/01-composition-logic/085-平面化构图.jpg,1086,1448,48d27f241d89fa0b37bfcdc9e33514eaab7f99ad7b75823519ec6886f2fcf834
086,深空间构图,构图逻辑,01-composition-logic,视点、景深与空间感,viewpoint-focus,v2/images/01-composition-logic/086-深空间构图.png,v2/thumbnails/01-composition-logic/086-深空间构图.jpg,1086,1448,78ab7f8b6b918177f7ae6e29e03423db1781974cda6f654a97d392f25a6f7e93
087,放射平衡原则,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/087-放射平衡原则.png,v2/thumbnails/02-visual-principles/087-放射平衡原则.jpg,1086,1448,183cb8fe9d159f0305268012f7ce6233b99a354afc31d8d64c3b84b5fa6dc6e6
088,晶体式平衡原则,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/088-晶体式平衡原则.png,v2/thumbnails/02-visual-principles/088-晶体式平衡原则.jpg,1086,1448,ba4f638ee974f4990993942c00d064501544bb624afb2af1e1863c58ff713c14
089,静态构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/089-静态构图.png,v2/thumbnails/02-visual-principles/089-静态构图.jpg,1086,1448,24c92f45527ec5a1d3e24a4674f3f05106a2f400e4174534f39ca700e124e154
090,动态构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/090-动态构图.png,v2/thumbnails/02-visual-principles/090-动态构图.jpg,1086,1448,84fdfb6e56a38fd3950f5d49584b64469ddb365dabec4cad4240cc669d571135
091,开放式构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/091-开放式构图.png,v2/thumbnails/02-visual-principles/091-开放式构图.jpg,1086,1448,c9ac6a736cf23685a391d0eef2ddea68b5e10a013ed4c0c56c24618dc9b8885d
092,封闭式构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/092-封闭式构图.png,v2/thumbnails/02-visual-principles/092-封闭式构图.jpg,1086,1448,9fccf34973e0b93d23643843a9102e14c8d67b955af705e862780244a08e710a
093,单一焦点构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/093-单一焦点构图.png,v2/thumbnails/02-visual-principles/093-单一焦点构图.jpg,1086,1448,9d076c296f7a461630b105fbbc03f2a19b7be0ae43d3f2e29b6dfe31cd352809
094,多重焦点构图,视觉原则与阅读模式,02-visual-principles,平衡、动势与焦点,balance-focus,v2/images/02-visual-principles/094-多重焦点构图.png,v2/thumbnails/02-visual-principles/094-多重焦点构图.jpg,1086,1448,24cfabcff9844d1a8909c23ba786815696d1049a41abfcbd05b419489e94f8be
095,视觉层级原则,视觉原则与阅读模式,02-visual-principles,层级、比例与对比,hierarchy-contrast,v2/images/02-visual-principles/095-视觉层级原则.png,v2/thumbnails/02-visual-principles/095-视觉层级原则.jpg,1086,1448,b65e539677874a50144599b7ed7fc63580a88656175ee1f4457341a44bee64eb
096,主次关系原则,视觉原则与阅读模式,02-visual-principles,层级、比例与对比,hierarchy-contrast,v2/images/02-visual-principles/096-主次关系原则.png,v2/thumbnails/02-visual-principles/096-主次关系原则.jpg,1086,1448,600c840672c4bd0e72158aa77a3a31bed1f2b7e07b18c23d6fc841a5a14e8d51
097,平衡原则,视觉原则与阅读模式,02-visual-principles,层级、比例与对比,hierarchy-contrast,v2/images/02-visual-principles/097-平衡原则.png,v2/thumbnails/02-visual-principles/097-平衡原则.jpg,1086,1448,e17518ba70e25d00c5aeb5af15c7bf67ea9797421f6b164ae7fab9f3d63ba0ce
